Meter Number,Office,n_points,start_time,end_time,final_score_max,final_score_mean,point_iforest_max,dist_iforest,temp_iforest
MMF2320601008206,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000901091943,70.65561820510806,100.0,100.0,100.0
KFM2120660242468,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000879940694,61.66559811096133,100.0,100.0,100.0
MMF2320601008364,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000851374746,67.86142638368217,100.0,100.0,100.0
SMR2320661027171,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000840828534,60.104282398781955,100.0,100.0,100.0
KFM2120660242453,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000797834159,65.11948674859865,100.0,100.0,100.0
SMR2420661037192,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000776257008,68.71601034294936,100.0,100.0,100.0
MMF2420601047403,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.5000075981099,69.46025588145339,100.0,100.0,100.0
KFM2120660236892,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000740646664,68.80196024306515,100.0,100.0,100.0
SMR2220661016196,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000674673507,72.91686588525549,100.0,100.0,100.0
KFM2120660242451,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000651512534,70.29061507509398,100.0,100.0,100.0
SMR2420668002115,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000639530633,74.90501197033906,100.0,100.0,100.0
SMR2420668002053,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.5000063099011,63.46281314610902,100.0,100.0,100.0
SMR2420661037180,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000629529478,68.67282917152885,100.0,100.0,100.0
SMR2220661020508,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000606494977,67.89199247497022,100.0,100.0,100.0
KFM2020660158523,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000563674554,67.91598335105051,100.0,100.0,100.0
SMR2420661042779,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000546890479,71.26252403502342,100.0,100.0,100.0
KFM2120660242518,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.5000052337584,67.44094102498816,100.0,100.0,100.0
MMF2420601019857,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000522391235,65.79954479762172,100.0,100.0,100.0
KFM2020660181551,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000503933424,68.87988325101098,100.0,100.0,100.0
MMF2420601016829,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000488748142,78.32223825316633,100.0,100.0,100.0
KFM2120660240771,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000483207796,75.33928868459964,100.0,100.0,100.0
SMR2420661042823,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000479954512,69.03924861421767,100.0,100.0,100.0
SMR2420661037201,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000448193988,64.64875386637681,100.0,100.0,100.0
MMF2420601019747,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000438982778,79.92186873278719,100.0,100.0,100.0
SMR2420668002035,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000433050693,65.00655212617745,100.0,100.0,100.0
SMR2420668002097,3420,90,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000399912682,65.74900949431543,100.0,100.0,100.0
KFM2120660235820,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000366568797,59.380825439297006,100.0,100.0,100.0
SMR2220661015671,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000365189388,72.3401505783528,100.0,100.0,100.0
SMR2420661037093,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000327044545,69.51034413273774,100.0,100.0,100.0
KFM2120660245508,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000278389354,62.32162332913214,100.0,100.0,100.0
SMR2420661037170,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.4947204567375,75.75834793355112,100.0,99.98238533373686,100.0
MMF2420601047239,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.44010934925893,81.41007708554717,100.0,100.0,99.60053992820419
SMR2320661027295,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.36487233729969,59.85515903509682,100.0,100.0,99.09912641308196
SMR2420661042789,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.3066079873553,71.72343576611506,100.0,99.35534120445034,100.0
MMF2420601016797,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.04251049749055,78.79807857406486,100.0,100.0,96.95000326863007
KFM2020660180516,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.96304335421803,52.03404480470717,100.0,47.556755157257896,91.30677871360433
MMF2420601047367,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.91692979385644,59.45594376361755,100.0,84.27004092381641,55.36593250613182
SMR2420668001913,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.81200868546061,82.81200868546061,100.0,70.00454043893836,45.40431035852728
KFM2120660239618,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.72490190512879,56.789069667858335,100.0,97.4934666536736,99.84571915360779
KFM2120660243752,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.6961365181428,69.80690677060596,100.0,55.29026280741041,74.0603845061311
MMF2320601008242,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.584381859213,72.74214224597087,100.0,96.9479315673185,100.0
SMR2320661027292,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.54470432949762,68.71801540051898,100.0,75.59394915619328,32.443463884264155
SMR2420661037052,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.490294748948,71.96025382035201,100.0,96.63429908042907,100.0
KFM2020660185772,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,82.03210046279179,54.90730211210259,100.0,67.13284905802597,94.30947238820448
SMR2420661036856,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,81.86983304887063,61.023810185942246,100.0,94.63322565848252,99.86573483526769
MMF2420601047407,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,81.73280031842178,63.36673381107415,100.0,100.0,88.2186504379531
KFM2120660242446,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,81.51041399285782,66.7498426741787,98.45817740537932,95.34671191951179,100.0
SMR2420661037182,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,81.4037476199164,81.4037476199164,100.0,77.23994395939674,21.545096213982482
SMR2220661020415,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,81.19706647662906,63.58944115925195,95.30481619604961,67.00839533388967,61.11836914696857
MMF2420601019834,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,81.07557646332391,67.7956557821508,100.0,91.9185736942973,100.0
